Date,Close,High,Low,Open,Volume,Ticker
2018-01-01,161.6087646484375,162.6128688938773,154.55972610642849,157.01947173392264,1171875,ATRL.KA
2018-01-02,163.32720947265625,166.7708532874219,157.72707708485385,161.0696266608494,2301500,ATRL.KA
2018-01-03,165.41629028320312,168.3747328824636,162.41068751529397,163.75848631714595,2321375,ATRL.KA
2018-01-04,163.8326416015625,166.9797637290662,163.23286291688595,166.15086809581564,787625,ATRL.KA
2018-01-05,167.6469268798828,169.08233646571497,162.7476419415665,163.45523731108338,1538250,ATRL.KA
2018-01-08,171.25904846191406,173.17967186231715,168.13888056608317,168.13888056608317,1414375,ATRL.KA
2018-01-09,171.64988708496094,172.85616670710527,168.81949315573783,172.84269604694558,1276125,ATRL.KA
2018-01-10,180.14108276367188,180.22868062251484,171.84532773808266,173.11899932029095,2171250,ATRL.KA
2018-01-11,177.16241455078125,180.23542187212576,175.28222909119106,180.23542187212576,1534500,ATRL.KA
2018-01-12,169.0149383544922,176.2257012336859,168.30734301109874,175.95614661159138,908125,ATRL.KA
2018-01-15,163.07785034179688,168.47581961253212,161.06961630976693,167.49865677389502,779250,ATRL.KA
2018-01-16,165.38259887695312,167.70082512905648,161.39983334719662,161.39983334719662,700875,ATRL.KA
2018-01-17,168.07147216796875,169.1497163269647,164.09544201153955,166.45410592947482,839500,ATRL.KA
2018-01-18,162.75436401367188,172.85617720827102,160.72592411963885,170.4975133150136,2421375,ATRL.KA
2018-01-19,160.57766723632812,163.41480970477463,156.34556575294624,163.08459853792348,1857375,ATRL.KA
2018-01-22,159.883544921875,164.93108384906805,158.4683414458101,161.7300409151367,1254375,ATRL.KA
2018-01-23,161.24484252929688,164.095455744001,158.44140233982552,160.45637176258674,1839875,ATRL.KA
2018-01-24,168.77235412597656,169.30472809053052,161.0628932465534,161.0628932465534,2920750,ATRL.KA
2018-01-25,168.77235412597656,168.77235412597656,168.77235412597656,168.77235412597656,0,ATRL.KA
2018-01-26,174.04898071289062,175.88874131898962,165.44998198001815,167.73450575057652,1790125,ATRL.KA
2018-01-29,175.18115234375,177.0343836771961,172.18227213806836,174.19725423341518,1026750,ATRL.KA
2018-01-30,172.76856994628906,176.22569690142964,172.18227483993562,175.45070970814334,755500,ATRL.KA
2018-01-31,174.6622314453125,177.56676552895692,171.91271278877866,173.10552179544823,1561125,ATRL.KA
2018-02-01,176.63003540039062,177.57350868953478,173.8670331076718,175.21484474720097,916125,ATRL.KA
2018-02-02,179.70303344726562,184.64947799756817,177.22306941499588,177.5667640643592,2346875,ATRL.KA
2018-02-05,179.70303344726562,179.70303344726562,179.70303344726562,179.70303344726562,0,ATRL.KA
2018-02-06,179.70303344726562,179.70303344726562,179.70303344726562,179.70303344726562,0,ATRL.KA
2018-02-07,176.7513427734375,180.60605977324624,176.09090763623087,179.08978779478252,761750,ATRL.KA
2018-02-08,174.2444305419922,177.90372025693364,173.1998758762363,176.7580842167668,475875,ATRL.KA
2018-02-09,174.23094177246094,175.147448006217,171.17141791929555,172.5192295213206,539125,ATRL.KA
2018-02-12,179.17066955566406,181.81910715817384,174.54095203620182,174.54095203620182,1370875,ATRL.KA
2018-02-13,177.53981018066406,182.7625707568816,177.00068808389327,182.6277870192677,591375,ATRL.KA
2018-02-14,177.53981018066406,177.53981018066406,177.53981018066406,177.53981018066406,0,ATRL.KA
2018-02-15,169.48667907714844,174.80377318535906,168.84647556306172,174.80377318535906,549250,ATRL.KA
2018-02-16,172.56642150878906,173.19315435822628,168.4690907551527,169.14973196141716,490750,ATRL.KA
2018-02-19,176.42788696289062,177.50613122050137,173.19988952123387,175.28225083246852,839750,ATRL.KA
2018-02-20,175.47767639160156,177.89699704104996,173.39531510261054,176.56266882248343,736625,ATRL.KA
2018-02-21,175.5248565673828,179.25828674049748,175.21486422608152,178.58438084581385,414000,ATRL.KA
2018-02-22,176.44134521484375,177.22981593222372,171.91272222214656,173.19314200813017,532500,ATRL.KA
2018-02-23,171.9935760498047,177.23654229584707,170.4975100738957,176.56264935659905,889250,ATRL.KA
2018-02-26,167.1886749267578,173.8670515902501,166.45412534587717,173.36163181196235,643000,ATRL.KA
2018-02-27,166.2384490966797,168.13886634265498,163.08459195784994,167.12800118274643,545625,ATRL.KA
2018-02-28,166.81126403808594,169.82361479313676,165.44323362631752,166.45409872861964,678625,ATRL.KA
2018-03-01,168.2803955078125,170.80078466713996,166.46085353519848,167.66713333219977,684750,ATRL.KA
2018-03-02,169.4731903076172,171.77119766454436,167.80190288171806,168.48254401769017,756375,ATRL.KA
2018-03-05,174.38595581054688,175.55179788411732,171.15795850837773,171.15795850837773,1146125,ATRL.KA
2018-03-06,176.0774383544922,179.12347870346886,175.2215757991638,177.53980199374593,943250,ATRL.KA
2018-03-07,175.03964233398438,177.23655558904335,174.54768039968803,176.5626625992516,513875,ATRL.KA
2018-03-08,174.0018310546875,176.5626708082233,171.8520778694275,173.87379549385344,682125,ATRL.KA
2018-03-09,171.67686462402344,176.56266601668912,170.53122852404448,175.55180080506614,476625,ATRL.KA
2018-03-12,172.81573486328125,174.3994115360686,170.22795411994,171.16467918005014,277375,ATRL.KA
2018-03-13,173.9209747314453,175.4170409425553,172.3170789491878,173.79967449745806,277750,ATRL.KA
2018-03-14,173.21334838867188,174.33877844893163,172.51923656798263,174.00181910782,102375,ATRL.KA
2018-03-15,173.10552978515625,174.2039928031398,171.9801125909161,173.2268300051531,285625,ATRL.KA
2018-03-16,172.1620635986328,174.54093345831384,171.8453231174051,172.8629107189535,272875,ATRL.KA
2018-03-19,173.1998748779297,174.19725651605376,172.3507604889294,172.5192337298714,347000,ATRL.KA
2018-03-20,172.2227020263672,176.25938851102111,171.87900738026687,173.73225148343994,839750,ATRL.KA
2018-03-21,171.64315795898438,173.52335640837552,171.17142772735087,172.84945056874844,346125,ATRL.KA
2018-03-22,169.85057067871094,172.82248377472013,169.4866571816273,171.5083745529115,342500,ATRL.KA
2018-03-23,169.85057067871094,169.85057067871094,169.85057067871094,169.85057067871094,0,ATRL.KA
2018-03-26,170.74012756347656,171.1714200835146,169.1564508391264,170.16730312658393,155875,ATRL.KA
2018-03-27,171.0568389892578,172.85616180314912,170.51098163355883,170.6659841967814,368375,ATRL.KA
2018-03-28,170.7805633544922,171.84533691551414,170.19426821893975,171.16469573179657,203000,ATRL.KA
2018-03-29,170.8412322998047,172.38447154467335,170.51102110724855,171.17144349236085,376500,ATRL.KA
2018-03-30,168.3343048095703,171.84534036234967,167.13476033688448,170.4975286297983,381875,ATRL.KA
2018-04-02,168.88690185546875,171.03664205045362,167.8693013498898,168.4758153133125,243875,ATRL.KA
2018-04-03,168.2736358642578,169.81013958365966,167.80190564874434,169.81013958365966,255625,ATRL.KA
2018-04-04,176.68397521972656,176.68397521972656,168.2736543821308,168.2736543821308,2047500,ATRL.KA
2018-04-05,180.7812957763672,184.6494966027168,178.90111014504703,180.2691278426967,2803125,ATRL.KA
2018-04-06,178.37545776367188,182.62779094489613,177.64090822915094,182.62779094489613,499500,ATRL.KA
2018-04-09,178.61805725097656,182.61430644516585,177.30394792228842,178.58436774287284,557750,ATRL.KA
2018-04-10,185.79513549804688,186.8666444056064,177.93068531646708,177.98459367229233,1692875,ATRL.KA
2018-04-11,182.2099609375,186.7385838750681,181.9538769834207,186.5701106337833,856625,ATRL.KA
2018-04-12,180.59933471679688,184.5147084741035,179.99955608022944,182.5603956876901,486875,ATRL.KA
2018-04-13,180.2826232910156,183.3017098841716,179.60871739401853,180.27587510592863,486000,ATRL.KA
2018-04-16,173.25379943847656,181.2058605502428,172.5192498694821,180.2691353609933,818500,ATRL.KA
2018-04-17,170.82098388671875,173.79964514300843,168.8127500457955,172.58661730064225,468875,ATRL.KA
2018-04-18,170.73338317871094,173.12574949847664,170.49751806817812,171.1714238927081,291125,ATRL.KA
2018-04-19,170.76036071777344,172.85619266515948,168.4758238166633,172.18903498393237,242750,ATRL.KA
2018-04-20,169.60797119140625,171.71055125879002,167.80191278081296,170.49752330809287,158500,ATRL.KA
2018-04-23,170.38970947265625,171.10404016893153,169.3249359055556,169.7899308180768,186500,ATRL.KA
2018-04-24,172.5192413330078,174.27139139412932,170.4975237915515,170.4975237915515,399000,ATRL.KA
2018-04-25,169.95166015625,172.85618152641197,169.82362460533935,172.85618152641197,398625,ATRL.KA
2018-04-26,168.900390625,170.16059170958195,168.3477978093979,170.16059170958195,341375,ATRL.KA
2018-04-27,173.17967224121094,177.34439490136884,168.13888093394834,169.62146358815838,1714375,ATRL.KA
2018-04-30,170.92208862304688,175.21484650104225,169.4866662562328,175.21484650104225,571625,ATRL.KA
2018-05-01,170.92208862304688,170.92208862304688,170.92208862304688,170.92208862304688,0,ATRL.KA
2018-05-02,167.761474609375,171.17816399570174,165.84759949536337,170.56491469121946,232750,ATRL.KA
2018-05-03,166.06996154785156,168.07145999591714,164.51325195818578,167.12798678486058,227250,ATRL.KA
2018-05-04,165.47695922851562,167.0943256242229,163.75849859616784,165.78021623106608,163750,ATRL.KA
2018-05-07,164.3380584716797,166.28563604905986,163.4215521325411,165.10631040194875,258375,ATRL.KA
2018-05-08,162.3837432861328,164.09545571008908,161.2650613430247,164.09545571008908,382125,ATRL.KA
2018-05-09,158.93333435058594,161.90524747439127,156.54771631358932,161.90524747439127,268375,ATRL.KA
2018-05-10,158.81202697753906,161.80415881137387,157.49118247256936,157.49118247256936,160375,ATRL.KA
2018-05-11,155.65817260742188,160.3148440459065,155.26731776438083,158.70421308999823,366875,ATRL.KA
2018-05-14,147.88133239746094,154.32384331994552,147.88133239746094,154.32384331994552,1067750,ATRL.KA
2018-05-15,144.53204345703125,147.57134876519018,140.83905112834515,147.57134876519018,1935000,ATRL.KA
2018-05-16,142.55075073242188,144.88246045419805,141.21642263321866,144.88246045419805,485750,ATRL.KA
2018-05-17,135.4949951171875,141.51968417662468,135.42760324894695,141.512948845906,491375,ATRL.KA
2018-05-18,132.99481201171875,134.10674570293625,129.47029314118907,133.43283987454268,867500,ATRL.KA
2018-05-21,132.73873901367188,135.55564992744206,131.41114609310188,132.2939629297247,874375,ATRL.KA
2018-05-22,138.70950317382812,139.36992546052176,132.421982228298,132.7589415557731,1086750,ATRL.KA
2018-05-23,137.88059997558594,139.38341421057368,136.86974766255926,138.82407327427077,342875,ATRL.KA
2018-05-24,134.5043487548828,137.6784376235821,133.76979924253342,137.61104575536072,335375,ATRL.KA
2018-05-25,128.04161071777344,135.45454864585497,127.7855267765316,135.45454864585497,1406250,ATRL.KA
2018-05-28,130.97984313964844,134.4437054840233,126.05360424311512,127.36771354325728,1544250,ATRL.KA
2018-05-29,137.5234375,137.5234375,130.80462364778916,131.47852948836683,1461875,ATRL.KA
2018-05-30,144.3972625732422,144.3972625732422,139.91579939100933,140.20558573224196,1326750,ATRL.KA
2018-05-31,151.61473083496094,151.61473083496094,146.2369940908384,146.2369940908384,1955750,ATRL.KA
2018-06-01,159.18942260742188,159.18942260742188,151.02171600698037,155.33469265696857,1495125,ATRL.KA
2018-06-04,158.48182678222656,162.33655672043034,155.75251402438167,160.7259258123844,1964500,ATRL.KA
2018-06-05,160.5574493408203,162.14111318738114,155.68511902402668,157.686617576896,995375,ATRL.KA
2018-06-06,164.7963104248047,166.12389041921193,158.4413971802081,160.39572285184798,1519500,ATRL.KA
2018-06-07,159.84310913085938,167.66712104454996,159.04790309921088,164.76934789947944,1290625,ATRL.KA
2018-06-08,159.84310913085938,159.84310913085938,159.84310913085938,159.84310913085938,0,ATRL.KA
2018-06-11,152.1673583984375,160.0520271999066,151.85736608083783,158.53574226622317,1267000,ATRL.KA
2018-06-12,144.77464294433594,152.03257913997336,144.55899666720146,150.95433490061566,799250,ATRL.KA
2018-06-13,151.2710723876953,152.01235725387977,143.5413932449059,145.2126807800755,1134000,ATRL.KA
2018-06-14,151.11605834960938,153.58255177253184,149.68064889618282,152.96255432475098,641125,ATRL.KA
2018-06-15,151.11605834960938,151.11605834960938,151.11605834960938,151.11605834960938,0,ATRL.KA
2018-06-19,153.5218963623047,154.66079704154234,150.49607485792075,151.62822735300853,692375,ATRL.KA
2018-06-20,147.71957397460938,154.99772762730964,146.0348160656169,152.64579931375894,1485000,ATRL.KA
2018-06-21,144.55897521972656,148.25196697577476,143.2111636936547,146.2369978704125,755500,ATRL.KA
2018-06-22,143.09661865234375,147.16699511510367,142.20706652084485,144.2153005745559,485625,ATRL.KA
2018-06-25,139.3699188232422,143.54137612535806,138.23101820187748,143.20442966761354,610625,ATRL.KA
2018-06-26,144.0535430908203,146.23699828336987,139.56534534952587,139.56534534952587,709750,ATRL.KA
2018-06-27,146.8637237548828,148.08349979113052,143.70986676351376,144.20181580547828,524875,ATRL.KA
2018-06-28,146.9041748046875,150.21304752420946,143.4672665286982,145.56984661662236,944250,ATRL.KA
2018-06-29,145.09811401367188,146.97829961279237,144.2152972336205,145.56310891532206,321375,ATRL.KA
2018-07-02,142.83380126953125,147.51742711158064,140.50883952990765,145.5631142406692,457500,ATRL.KA
2018-07-03,142.36878967285156,144.82179953786522,140.91316140024065,140.9468637590947,312875,ATRL.KA
2018-07-04,135.25238037109375,141.04795244081524,135.25238037109375,140.84577683826063,1099750,ATRL.KA
2018-07-05,135.0030517578125,137.39540533996478,132.79264208855264,134.1134867716206,516250,ATRL.KA
2018-07-06,136.90347290039062,138.1501905329976,133.4328618123474,135.00306817774768,341125,ATRL.KA
2018-07-09,132.11874389648438,137.57737008839445,130.73724259317805,137.47627584904998,503625,ATRL.KA
2018-07-10,133.1026153564453,134.6795566361014,128.10899796279534,129.47028014436148,344875,ATRL.KA
2018-07-11,133.76979064941406,137.74582064327146,131.74807329369736,132.0917679434428,622250,ATRL.KA
