City,Month,Hour,GHI,Temperature,Humidity
Islamabad,1,0,0.0,8.325806451612904,79.47114695340503
Islamabad,1,1,0.0,8.090143369175628,80.55358422939068
Islamabad,1,2,0.0,7.668637992831542,81.85376344086022
Islamabad,1,3,0.0,7.4037634408602155,82.56827956989247
Islamabad,1,4,0.0,7.185663082437276,83.12437275985663
Islamabad,1,5,0.0,6.934408602150538,83.66003584229391
Islamabad,1,6,0.0,6.588172043010752,84.49820788530467
Islamabad,1,7,10.243189964157706,6.56236559139785,84.22921146953405
Islamabad,1,8,95.8010752688172,7.6853046594982075,81.04462365591398
Islamabad,1,9,214.79301075268816,9.501433691756272,75.61236559139785
Islamabad,1,10,333.70286738351257,11.395878136200716,68.0220430107527
Islamabad,1,11,407.65340501792116,12.983512544802867,61.405913978494624
Islamabad,1,12,421.53440860215056,13.954301075268818,57.4410394265233
Islamabad,1,13,403.2464157706093,14.637992831541219,54.26702508960574
Islamabad,1,14,333.5926523297491,14.977419354838709,52.78673835125448
Islamabad,1,15,222.2353046594982,14.956989247311828,52.48136200716846
Islamabad,1,16,93.79910394265234,14.260573476702508,55.28082437275986
Islamabad,1,17,8.39820788530466,12.704659498207885,61.11075268817205
Islamabad,1,18,0.0,11.559498207885305,65.28136200716845
Islamabad,1,19,0.0,10.825448028673836,67.70752688172044
Islamabad,1,20,0.0,10.153942652329748,70.28691756272401
Islamabad,1,21,0.0,9.639247311827956,72.9478494623656
Islamabad,1,22,0.0,9.148028673835126,75.40304659498209
Islamabad,1,23,0.0008960573476702509,8.695698924731182,77.8163082437276
Islamabad,2,0,0.001176470588235294,11.678039215686274,69.30470588235295
Islamabad,2,1,0.0,11.374509803921569,70.56862745098039
Islamabad,2,2,0.001176470588235294,11.030392156862746,70.96901960784314
Islamabad,2,3,0.004901960784313725,10.716470588235293,71.73803921568627
Islamabad,2,4,0.0031372549019607846,10.317450980392156,73.12137254901961
Islamabad,2,5,0.0,9.868039215686274,74.30333333333333
Islamabad,2,6,0.04764705882352941,9.71156862745098,74.55411764705882
Islamabad,2,7,36.793725490196074,10.015882352941178,73.58647058823529
Islamabad,2,8,171.6829411764706,11.97843137254902,68.01686274509804
Islamabad,2,9,328.5607843137255,14.105490196078431,60.60686274509804
Islamabad,2,10,444.37470588235294,15.835686274509804,54.474901960784315
Islamabad,2,11,515.6092156862745,17.065686274509805,50.11333333333333
Islamabad,2,12,549.4462745098039,18.00294117647059,47.01019607843138
Islamabad,2,13,532.1870588235295,18.558039215686275,45.235882352941175
Islamabad,2,14,459.141568627451,18.9543137254902,44.07529411764706
Islamabad,2,15,329.89372549019606,18.988039215686275,43.5921568627451
Islamabad,2,16,172.16882352941178,18.532745098039218,45.20235294117647
Islamabad,2,17,38.98313725490196,17.25470588235294,49.79843137254902
Islamabad,2,18,0.047254901960784315,15.823921568627451,54.07745098039216
Islamabad,2,19,0.0,14.951372549019608,56.863137254901964
Islamabad,2,20,0.0,14.305490196078432,58.66803921568628
Islamabad,2,21,0.009411764705882352,13.701176470588235,61.02960784313725
Islamabad,2,22,0.001176470588235294,13.14529411764706,63.27607843137255
Islamabad,2,23,0.000980392156862745,12.49764705882353,65.80627450980391
Islamabad,3,0,0.0,14.766483516483516,70.56483516483517
Islamabad,3,1,0.0,14.382967032967034,71.91080586080587
Islamabad,3,2,0.0,14.03095238095238,72.92106227106227
